"X studied variable","Y studied variable","Computed marginal EPMF of X","Computed marginal EPMF of Y","Chi2","Chi2 p-value","Information entropy of X","Information entropy of Y","Joint information entropy of X and Y","Conditional information entropy of Y given X","Conditional information entropy of X given Y","Mutual information of X and Y","Normalized mutual information of X and Y"
"Id","Id",2,2,30,4.32046305398615e-08,0.693147180559945,0.693147180559945,0.693147180559945,0,0,0.693147180559945,1
"Id","trait",2,2,0,1,0.693147180559945,0.500402423538188,1.19354960409813,0.693147180559945,0.500402423538188,1.11022302462516e-16,1.88511477401523e-16
"Id","sex",2,30,30,0.414003642917543,0.693147180559945,3.40119738166215,3.40119738166215,0,2.70805020110221,0.693147180559945,0.451436647925826
"Id","mm",2,28,28,0.410973512088463,0.693147180559945,3.3087777575875,3.35498756962482,0.0462098120373297,2.66184038906488,0.646937368522616,0.427184718356715
"Id","mg",2,30,30,0.414003642917543,0.693147180559945,3.40119738166215,3.40119738166215,0,2.70805020110221,0.693147180559945,0.451436647925826
"Id","weight",2,28,30,0.314153833400101,0.693147180559945,3.3087777575875,3.30877775758749,0,2.61563057702755,0.693147180559945,0.457697912525051
"Id","bmi",2,29,30,0.363217842279475,0.693147180559945,3.35498756962482,3.35498756962482,0,2.66184038906488,0.693147180559945,0.454534939839788
"Id","insulin",2,29,30,0.363217842279475,0.693147180559945,3.35498756962482,3.35498756962482,0,2.66184038906488,0.693147180559945,0.454534939839788
"trait","trait",2,2,30,4.32046305398615e-08,0.500402423538188,0.500402423538188,0.500402423538188,0,0,0.500402423538188,1
"trait","sex",2,30,30,0.414003642917544,0.500402423538188,3.40119738166215,3.40119738166215,0,2.90079495812397,0.500402423538188,0.3835692507143
"trait","mm",2,28,23.75,0.644144718352909,0.500402423538188,3.3087777575875,3.40119738166215,0.0924196240746594,2.90079495812397,0.407982799463529,0.31706503548777
"trait","mg",2,30,30,0.414003642917543,0.500402423538188,3.40119738166215,3.40119738166215,0,2.90079495812397,0.500402423538188,0.3835692507143
"trait","weight",2,28,26.875,0.470554541701628,0.500402423538188,3.3087777575875,3.35498756962482,0.0462098120373297,2.85458514608664,0.454192611500859,0.352977127156255
"trait","bmi",2,29,26.875,0.525061725542899,0.500402423538188,3.35498756962482,3.40119738166215,0.0462098120373297,2.90079495812397,0.454192611500859,0.350537839186689
"trait","insulin",2,29,30,0.363217842279476,0.500402423538188,3.35498756962482,3.35498756962482,0,2.85458514608664,0.500402423538189,0.386201756323654
"sex","sex",30,30,869.999999999996,0.237196759040721,3.40119738166215,3.40119738166215,3.40119738166215,0,0,3.40119738166215,1
"sex","mm",30,28,809.999999999998,0.244657201872625,3.40119738166215,3.3087777575875,3.40119738166215,0.0924196240746594,0,3.30877775758749,0.986320093607851
"sex","mg",30,30,869.999999999995,0.237196759040725,3.40119738166215,3.40119738166215,3.40119738166215,0,0,3.40119738166215,1
"sex","weight",30,28,809.999999999998,0.244657201872626,3.40119738166215,3.3087777575875,3.40119738166215,0.0924196240746594,0,3.30877775758749,0.986320093607851
"sex","bmi",30,29,839.999999999998,0.240879599516558,3.40119738166215,3.35498756962482,3.40119738166215,0.0462098120373297,0,3.35498756962482,0.993183600109919
"sex","insulin",30,29,839.999999999997,0.240879599516562,3.40119738166215,3.35498756962482,3.40119738166215,0.0462098120373297,0,3.35498756962482,0.993183600109919
"mm","mm",28,28,809.999999999999,0.0194715952051591,3.3087777575875,3.3087777575875,3.3087777575875,0,0,3.3087777575875,1
"mm","mg",28,30,809.999999999998,0.244657201872624,3.3087777575875,3.40119738166215,3.40119738166215,0,0.0924196240746594,3.30877775758749,0.986320093607851
"mm","weight",28,28,750,0.286990884412412,3.3087777575875,3.3087777575875,3.40119738166215,0.0924196240746594,0.0924196240746594,3.21635813351284,0.972068349449361
"mm","bmi",28,29,787.499999999999,0.207194524845275,3.3087777575875,3.35498756962482,3.40119738166215,0.0462098120373297,0.0924196240746594,3.26256794555017,0.97922007512745
"mm","insulin",28,29,779.999999999998,0.265034269994276,3.3087777575875,3.35498756962482,3.40119738166215,0.0462098120373297,0.0924196240746594,3.26256794555017,0.97922007512745
"mg","mg",30,30,869.999999999995,0.237196759040725,3.40119738166215,3.40119738166215,3.40119738166215,0,0,3.40119738166215,1
"mg","weight",30,28,809.999999999998,0.244657201872626,3.40119738166215,3.3087777575875,3.40119738166215,0.0924196240746594,0,3.30877775758749,0.986320093607851
"mg","bmi",30,29,839.999999999998,0.240879599516558,3.40119738166215,3.35498756962482,3.40119738166215,0.0462098120373297,0,3.35498756962482,0.993183600109919
"mg","insulin",30,29,839.999999999997,0.240879599516562,3.40119738166215,3.35498756962482,3.40119738166215,0.0462098120373297,0,3.35498756962482,0.993183600109919
"weight","weight",28,28,809.999999999999,0.0194715952051592,3.3087777575875,3.3087777575875,3.3087777575875,0,0,3.3087777575875,1
"weight","bmi",28,29,787.499999999998,0.207194524845276,3.3087777575875,3.35498756962482,3.40119738166215,0.0462098120373297,0.0924196240746594,3.26256794555017,0.97922007512745
"weight","insulin",28,29,780,0.265034269994262,3.3087777575875,3.35498756962482,3.40119738166215,0.0462098120373297,0.0924196240746594,3.26256794555017,0.97922007512745
"bmi","bmi",29,29,839.999999999995,0.0809638452711644,3.35498756962482,3.35498756962482,3.35498756962482,0,0,3.35498756962482,1
"bmi","insulin",29,29,809.999999999997,0.252619603402004,3.35498756962482,3.35498756962482,3.40119738166215,0.0462098120373297,0.0462098120373297,3.3087777575875,0.986226532564323
"insulin","insulin",29,29,839.999999999998,0.0809638452711553,3.35498756962482,3.35498756962482,3.35498756962482,0,0,3.35498756962482,1
